event_id,event_type,user_id,ad_id,campaign_id,cost_per_click
06eaff6b-5fcc-4b5c-a576-4218ce05f05f,impression,user_808,ad_camp_2_5,camp_2,
69a344f0-6cf9-413c-a06b-6c429d430983,impression,user_337,ad_camp_11_4,camp_11,
9acf8765-ec44-401b-a640-2e4bb5d55a67,impression,user_775,ad_camp_9_3,camp_9,
e84bf59b-243e-4f55-8f55-1b01bdd8a2c0,click,user_207,ad_camp_15_1,camp_15,0.28
01ffbbff-b1d6-4db0-ba9d-3aaae2c51d72,click,user_727,ad_camp_10_5,camp_10,0.88
45bc0692-a449-4bcf-8897-28cf979e7541,impression,user_90,ad_camp_19_3,camp_19,
af5ca7cf-1bb3-4b0c-b2f7-ba8c0d4cddd8,impression,user_802,ad_camp_20_5,camp_20,
5696ee9c-7b7a-4a06-a898-691109e47e0a,impression,user_238,ad_camp_16_1,camp_16,
d739f0ee-2474-4efb-9b29-e55764f2b46d,impression,user_178,ad_camp_4_1,camp_4,
2f005d61-044a-4904-864b-6eaa56b2d498,click,user_725,ad_camp_15_2,camp_15,0.25
055574b9-c70f-4678-83b9-9f91b3abe610,impression,user_645,ad_camp_8_2,camp_8,
549fcd32-f5f3-4631-b8cf-efed295639ab,click,user_72,ad_camp_11_3,camp_11,0.6
1355a6d5-8a26-4786-a51f-4bf6c5968a48,click,user_749,ad_camp_2_2,camp_2,0.91
da6dd186-083e-45b3-83d5-ec2f55c89b7d,impression,user_86,ad_camp_2_2,camp_2,
51a80731-8322-4497-a07f-009eaf6d29ac,impression,user_587,ad_camp_15_5,camp_15,
3c4ebb10-b453-4205-9d51-0de73d12753f,impression,user_180,ad_camp_5_2,camp_5,
038a1611-5b41-4bc8-ba85-17073cbbbedd,impression,user_622,ad_camp_14_3,camp_14,
b317ebd4-13d2-40da-a4bb-4bf7ddc0eeb7,click,user_314,ad_camp_2_4,camp_2,0.35
14fced45-6e99-4071-ba9c-6b0ebfc1360f,impression,user_323,ad_camp_7_5,camp_7,
d51ef52c-6f28-4b35-8020-785329699a43,impression,user_203,ad_camp_1_1,camp_1,
2417eca3-a9a4-47e9-a168-7d59f0f02ddd,impression,user_981,ad_camp_9_1,camp_9,
d390bca8-0b74-46ab-aa7c-d1708d006f56,impression,user_774,ad_camp_5_1,camp_5,
ae38f7af-a050-49d3-bb78-3d254d2f483e,impression,user_285,ad_camp_3_3,camp_3,
542acef0-47dd-40c0-8384-5ac6fba89a75,impression,user_874,ad_camp_7_3,camp_7,
13c1efb5-f388-4bfd-8558-690189af263e,impression,user_127,ad_camp_2_5,camp_2,
28b3bf28-534f-4c7f-b4d9-334bb969c62f,click,user_976,ad_camp_2_2,camp_2,0.91
b3a9b74e-7450-40e7-88e0-b680b95a1bf5,impression,user_790,ad_camp_8_5,camp_8,
47b1213a-f178-43ad-b9da-1d841bf627ea,click,user_729,ad_camp_2_3,camp_2,0.77
d3e20e34-32b1-4e53-851f-22edb8cabbf0,impression,user_472,ad_camp_7_4,camp_7,
1a6d6591-8d4e-46ca-b70a-04c1b41b5e92,click,user_865,ad_camp_2_5,camp_2,1.04
c6fccd7f-f4a3-4e99-9ec6-48acfb54efc9,click,user_990,ad_camp_8_4,camp_8,1.42
03f765ee-cf70-4ef4-a900-2356fbacb1fd,impression,user_237,ad_camp_10_3,camp_10,
2a4b9d14-1314-4576-924f-2677f3ebf6e6,click,user_270,ad_camp_10_3,camp_10,1.08
df2241e1-d557-4fc5-9f56-10bd202d0d7e,impression,user_342,ad_camp_20_2,camp_20,
7ea24944-d6b3-41dd-a12d-44d8ca3a41f8,impression,user_666,ad_camp_1_5,camp_1,
e2832b44-fe93-4213-86e9-cc4be04db667,impression,user_620,ad_camp_1_1,camp_1,
cf9dfc66-f1e5-4bef-ba79-3c77cdc727cf,impression,user_417,ad_camp_15_3,camp_15,
6da27033-1d1d-459e-85e1-79a7590b4861,impression,user_13,ad_camp_20_2,camp_20,
9f47857a-ea3f-473d-a458-c7b3b4656a8e,impression,user_858,ad_camp_20_2,camp_20,
887631d3-76d7-4d1a-b0b4-aabf4300bcaf,click,user_967,ad_camp_14_2,camp_14,0.44
